"id","country","title","image_url","source","original_link","scraped_at","page_url"
"53","ecuador","Expreso","images/Expreso_682fc6f990b7e.jpg","https://es.kiosko.net/ec/np/ec_expreso.html","https://img.kiosko.net/2025/05/22/ec/ec_expreso.750.jpg","2025-05-22 18:53:14",NULL
"54","peru","El Comercio","images/El_Comercio_682fc6fb47bba.jpg","https://es.kiosko.net/pe/np/pe_comercio.html","https://img.kiosko.net/2025/05/22/pe/pe_comercio.750.jpg","2025-05-22 18:53:16",NULL
"55","peru","La Republica","images/La_Republica_682fc6fca9c9b.jpg","https://es.kiosko.net/pe/np/pe_republica.html","https://img.kiosko.net/2025/05/22/pe/pe_republica.750.jpg","2025-05-22 18:53:17",NULL
"56","peru","Diario Chaski","images/Diario_Chaski_682fc6fe103d6.jpg","https://es.kiosko.net/pe/np/pe_diario_chaski.html","https://img.kiosko.net/2025/05/22/pe/pe_diario_chaski.750.jpg","2025-05-22 18:53:19",NULL
"57","peru","Líbero","images/L__bero_682fc6ff805eb.jpg","https://es.kiosko.net/pe/np/pe_libero.html","https://img.kiosko.net/2025/05/22/pe/pe_libero.750.jpg","2025-05-22 18:53:20",NULL
"58","venezuela","El Nacional","images/El_Nacional_682fc70117f16.jpg","https://es.kiosko.net/ve/np/ve_nacional.html","https://img.kiosko.net/2025/05/22/ve/ve_nacional.750.jpg","2025-05-22 18:53:22",NULL
"59","venezuela","Periodiquito de Aragua","images/Periodiquito_de_Aragua_682fc7027b1c7.jpg","https://es.kiosko.net/ve/np/periodiquito.html","https://img.kiosko.net/2025/05/22/ve/periodiquito.750.jpg","2025-05-22 18:53:23",NULL
"60","venezuela","Universal","images/Universal_682fc704165ac.jpg","https://es.kiosko.net/ve/np/ve_universal.html","https://img.kiosko.net/2025/05/21/ve/ve_universal.750.jpg","2025-05-22 18:53:25",NULL
"61","venezuela","Lider en deportes","images/Lider_en_deportes_682fc705758cf.jpg","https://es.kiosko.net/ve/np/ve_lider.html","https://img.kiosko.net/2025/05/22/ve/ve_lider.750.jpg","2025-05-22 18:53:26",NULL
"62","bolivia","Portada EL DEBER 22.05.2025","images/Portada_EL_DEBER_22_05_2025_682fc70716266.jpg","https://eldeber.com.bo/","https://eldeber.com.bo/sites/default/efsfiles/styles/large/public/2025-05/01_tapa_jueves_1.jpg?itok=veqJ_hpu","2025-05-22 18:53:27",NULL
"63","bolivia","Portada","images/Portada_682fc707eaa74.jpg","https://www.lostiempos.com/","https://www.lostiempos.com/sites/default/files/portadas/2025/5/01_14.jpg","2025-05-22 18:53:28",NULL
"64","mexico","El Universal","images/El_Universal_682fc70918b20.jpg","https://es.kiosko.net/mx/np/mx_universal.html","https://img.kiosko.net/2025/05/22/mx/mx_universal.750.jpg","2025-05-22 18:53:30",NULL
"65","mexico","Excelsior","images/Excelsior_682fc70aa76c6.jpg","https://es.kiosko.net/mx/np/mx_excelsior.html","https://img.kiosko.net/2025/05/22/mx/mx_excelsior.750.jpg","2025-05-22 18:53:31",NULL
"66","mexico","La Jornada","images/La_Jornada_682fc70c42035.jpg","https://es.kiosko.net/mx/np/mx_jornada.html","https://img.kiosko.net/2025/05/22/mx/mx_jornada.750.jpg","2025-05-22 18:53:33",NULL
"67","mexico","Milenio","images/Milenio_682fc70da2e57.jpg","https://es.kiosko.net/mx/np/mx_milenio.html","https://img.kiosko.net/2025/05/22/mx/mx_milenio.750.jpg","2025-05-22 18:53:34",NULL
"68","mexico","Reforma","images/Reforma_682fc70f32800.jpg","https://es.kiosko.net/mx/np/mx_reforma.html","https://img.kiosko.net/2025/05/22/mx/mx_reforma.750.jpg","2025-05-22 18:53:36",NULL
"69","mexico","Esto","images/Esto_682fc710c9c74.jpg","https://es.kiosko.net/mx/np/mx_esto.html","https://img.kiosko.net/2025/05/22/mx/mx_esto.750.jpg","2025-05-22 18:53:37",NULL
"70","mexico","El Financiero","images/El_Financiero_682fc7123e2d4.jpg","https://es.kiosko.net/mx/np/mx_financiero.html","https://img.kiosko.net/2025/05/22/mx/mx_financiero.750.jpg","2025-05-22 18:53:39",NULL
"71","mexico","El Economista","images/El_Economista_682fc713b5099.jpg","https://es.kiosko.net/mx/np/mx_eleconomista.html","https://img.kiosko.net/2025/05/22/mx/mx_eleconomista.750.jpg","2025-05-22 18:53:40",NULL
"72","mexico","Diario de Yucatán","images/Diario_de_Yucat__n_682fc7151e17d.jpg","https://es.kiosko.net/mx/np/mx_diario_yucatan.html","https://img.kiosko.net/2025/05/22/mx/mx_diario_yucatan.750.jpg","2025-05-22 18:53:42",NULL
"73","mexico","El Sol de México","images/El_Sol_de_M__xico_682fc716a7bef.jpg","https://es.kiosko.net/mx/np/mx_sol_mexico.html","https://img.kiosko.net/2025/05/22/mx/mx_sol_mexico.750.jpg","2025-05-22 18:53:43",NULL
"74","mexico","La Prensa","images/La_Prensa_682fc71814773.jpg","https://es.kiosko.net/mx/np/mx_laprensa.html","https://img.kiosko.net/2025/05/22/mx/mx_laprensa.750.jpg","2025-05-22 18:53:45",NULL
"75","mexico","Al Día A.M.","images/Al_D__a_A_M__682fc7197d8b8.jpg","https://es.kiosko.net/mx/np/mx_am.html","https://img.kiosko.net/2025/05/22/mx/mx_am.750.jpg","2025-05-22 18:53:46",NULL
"76","mexico","El Informador","images/El_Informador_682fc71b117f1.jpg","https://es.kiosko.net/mx/np/mx_informador.html","https://img.kiosko.net/2025/05/22/mx/mx_informador.750.jpg","2025-05-22 18:53:48",NULL
"77","panama","La Estrella de Panamá","images/La_Estrella_de_Panam___682fc71d09990.jpg","https://es.kiosko.net/pa/np/estrella_panama.html","https://img.kiosko.net/2025/05/22/pa/estrella_panama.750.jpg","2025-05-22 18:53:50",NULL
